File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Platform	Controlled by	File Status	Restricted	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF755BDW	tsv	gene quantifications	ENCSR000AAV	RNA-seq	CL:0002601	uterine smooth muscle cell	primary cell	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				1							ENCFF445UKW, ENCFF940AZB	9914603	ENCODE Processing Pipeline	103a5131e6254cdf8868ecf57b8d9d2a		https://www.encodeproject.org/files/ENCFF755BDW/@@download/ENCFF755BDW.tsv	GRCh38			released			missing RIN, inconsistent assay_term_name		
ENCFF902SZR	tsv	gene quantifications	ENCSR000AAV	RNA-seq	CL:0002601	uterine smooth muscle cell	primary cell	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				2							ENCFF181FDU, ENCFF940AZB	9969492	ENCODE Processing Pipeline	293e51e897746b2794485ef206517b45		https://www.encodeproject.org/files/ENCFF902SZR/@@download/ENCFF902SZR.tsv	GRCh38			released			missing RIN, inconsistent assay_term_name		
ENCFF377UBC	tsv	gene quantifications	ENCSR000AAD	RNA-seq	CL:0002328	bronchial epithelial cell	primary cell	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				2							ENCFF509AAN, ENCFF826ONU	9597813	ENCODE Processing Pipeline	038047c319e010cd14e3a767267db634		https://www.encodeproject.org/files/ENCFF377UBC/@@download/ENCFF377UBC.tsv	hg19			released			missing RIN, inconsistent assay_term_name		
ENCFF193YHT	tsv	gene quantifications	ENCSR000AAD	RNA-seq	CL:0002328	bronchial epithelial cell	primary cell	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				1							ENCFF826ONU, ENCFF967QFG	9632768	ENCODE Processing Pipeline	5aa3314ddd24c0896fdc3b7d2970537a		https://www.encodeproject.org/files/ENCFF193YHT/@@download/ENCFF193YHT.tsv	hg19			released			missing RIN, inconsistent assay_term_name		
ENCFF623ZJJ	tsv	gene quantifications	ENCSR000AAD	RNA-seq	CL:0002328	bronchial epithelial cell	primary cell	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				1							ENCFF014TJY, ENCFF940AZB	9990321	ENCODE Processing Pipeline	45aa53a731e7f37424cdf2e27c616d15		https://www.encodeproject.org/files/ENCFF623ZJJ/@@download/ENCFF623ZJJ.tsv	GRCh38			released			missing RIN, inconsistent assay_term_name		
ENCFF207VFL	tsv	gene quantifications	ENCSR000AAD	RNA-seq	CL:0002328	bronchial epithelial cell	primary cell	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				2							ENCFF610RSS, ENCFF940AZB	9950141	ENCODE Processing Pipeline	23468eed95e88d1a5dc991032fa8d91d		https://www.encodeproject.org/files/ENCFF207VFL/@@download/ENCFF207VFL.tsv	GRCh38			released			missing RIN, inconsistent assay_term_name		
ENCFF724NAG	tsv	gene quantifications	ENCSR697EYE	RNA-seq	CL:2000045	foreskin melanocyte	primary cell	Homo sapiens					polyadenylated mRNA		see document			True	2013-07-31	Roadmap				1							ENCFF118QWP, ENCFF940AZB	9932383	ENCODE Processing Pipeline	5d74a3b3f4e22da87bf07d120d542e20		https://www.encodeproject.org/files/ENCFF724NAG/@@download/ENCFF724NAG.tsv	GRCh38			released			missing RIN, inconsistent assay_term_name		
ENCFF398SYU	tsv	gene quantifications	ENCSR697EYE	RNA-seq	CL:2000045	foreskin melanocyte	primary cell	Homo sapiens					polyadenylated mRNA		see document			True	2013-07-31	Roadmap				1							ENCFF301IAA, ENCFF826ONU	9581238	ENCODE Processing Pipeline	5dce7fd073e0ecf46f401d07a34aad83		https://www.encodeproject.org/files/ENCFF398SYU/@@download/ENCFF398SYU.tsv	hg19			released			missing RIN, inconsistent assay_term_name		
ENCFF365KLE	tsv	gene quantifications	ENCSR671WMH	RNA-seq	UBERON:0002190	subcutaneous adipose tissue	tissue	Homo sapiens					RNA	rRNA	see document	see document		True	2016-02-18	ENCODE				1							ENCFF224MQB, ENCFF940AZB	9828056	ENCODE Processing Pipeline	63df552a42570e404a020ae0dfe7f975		https://www.encodeproject.org/files/ENCFF365KLE/@@download/ENCFF365KLE.tsv	GRCh38			released			inconsistent assay_term_name		
ENCFF134QKO	tsv	gene quantifications	ENCSR671WMH	RNA-seq	UBERON:0002190	subcutaneous adipose tissue	tissue	Homo sapiens					RNA	rRNA	see document	see document		True	2016-02-18	ENCODE				1							ENCFF538NSV, ENCFF826ONU	9483699	ENCODE Processing Pipeline	abe07133acff0a94bb635390b13d7ae7		https://www.encodeproject.org/files/ENCFF134QKO/@@download/ENCFF134QKO.tsv	hg19			released			inconsistent assay_term_name		
ENCFF309XJY	tsv	gene quantifications	ENCSR000AFA	RNA-seq	UBERON:0000081	metanephros	tissue	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				1							ENCFF384OHI, ENCFF826ONU	9484487	ENCODE Processing Pipeline	dabdc5d68e2d0b4c2a4b0a064ee417f7		https://www.encodeproject.org/files/ENCFF309XJY/@@download/ENCFF309XJY.tsv	hg19			released			missing RIN, inconsistent assay_term_name		
ENCFF175UXC	tsv	gene quantifications	ENCSR000AFA	RNA-seq	UBERON:0000081	metanephros	tissue	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				2							ENCFF159RQM, ENCFF826ONU	9515996	ENCODE Processing Pipeline	272ae6835c805b58ee8ae98def07d9e9		https://www.encodeproject.org/files/ENCFF175UXC/@@download/ENCFF175UXC.tsv	hg19			released			missing RIN, inconsistent assay_term_name		
ENCFF397JTM	tsv	gene quantifications	ENCSR000AFA	RNA-seq	UBERON:0000081	metanephros	tissue	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				1							ENCFF277RGY, ENCFF940AZB	9847457	ENCODE Processing Pipeline	7925756602cdeac3f6f027a7b94d768e		https://www.encodeproject.org/files/ENCFF397JTM/@@download/ENCFF397JTM.tsv	GRCh38			released			missing RIN, inconsistent assay_term_name		
ENCFF904AZG	tsv	gene quantifications	ENCSR000AFA	RNA-seq	UBERON:0000081	metanephros	tissue	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				2							ENCFF940AZB, ENCFF944GFC	9881349	ENCODE Processing Pipeline	ef0154f12f05180c9c981246ace9d5c7		https://www.encodeproject.org/files/ENCFF904AZG/@@download/ENCFF904AZG.tsv	GRCh38			released			missing RIN, inconsistent assay_term_name		
ENCFF617OIT	tsv	gene quantifications	ENCSR000AFS	RNA-seq	UBERON:0001870	frontal cortex	tissue	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				1							ENCFF001RMP, ENCFF982OYH	1410016	ENCODE Processing Pipeline	02a2a2424b017aba93aee542a9b2f6f8		https://www.encodeproject.org/files/ENCFF617OIT/@@download/ENCFF617OIT.tsv	hg19			released			missing RIN		
ENCFF212YYE	tsv	gene quantifications	ENCSR000AFS	RNA-seq	UBERON:0001870	frontal cortex	tissue	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				2							ENCFF001RMM, ENCFF982OYH	1398373	ENCODE Processing Pipeline	e09ae9b5e031dff2b79b0531db725574		https://www.encodeproject.org/files/ENCFF212YYE/@@download/ENCFF212YYE.tsv	hg19			released			missing RIN		
ENCFF314LPK	tsv	gene quantifications	ENCSR000AFS	RNA-seq	UBERON:0001870	frontal cortex	tissue	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				1							ENCFF001RMP, ENCFF426MTM	1499718	ENCODE Processing Pipeline	c3c69fd78bed7b857c6952cdd5fbdae5		https://www.encodeproject.org/files/ENCFF314LPK/@@download/ENCFF314LPK.tsv	GRCh38			released			missing RIN		
ENCFF484IXG	tsv	gene quantifications	ENCSR000AFS	RNA-seq	UBERON:0001870	frontal cortex	tissue	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				2							ENCFF001RMM, ENCFF426MTM	1487941	ENCODE Processing Pipeline	930435f02d449776bfa7057a513cfdc8		https://www.encodeproject.org/files/ENCFF484IXG/@@download/ENCFF484IXG.tsv	GRCh38			released			missing RIN		
ENCFF367FJJ	tsv	gene quantifications	ENCSR000AFB	RNA-seq	UBERON:0002107	liver	tissue	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				2							ENCFF008LAS, ENCFF826ONU	9546409	ENCODE Processing Pipeline	0f3ff1429335bfe04bd463d4af3618da		https://www.encodeproject.org/files/ENCFF367FJJ/@@download/ENCFF367FJJ.tsv	hg19			released			missing RIN, inconsistent assay_term_name		
ENCFF029IUF	tsv	gene quantifications	ENCSR000AFB	RNA-seq	UBERON:0002107	liver	tissue	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				1							ENCFF400YGO, ENCFF826ONU	9510413	ENCODE Processing Pipeline	5642fdfc36d3ac35fefd1e3d7ffdf0a8		https://www.encodeproject.org/files/ENCFF029IUF/@@download/ENCFF029IUF.tsv	hg19			released			missing RIN, inconsistent assay_term_name		
ENCFF506YSY	tsv	gene quantifications	ENCSR000AFB	RNA-seq	UBERON:0002107	liver	tissue	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				1							ENCFF629FNY, ENCFF940AZB	9876054	ENCODE Processing Pipeline	0ae2fedc27994ef6211906ff0ce1c9e4		https://www.encodeproject.org/files/ENCFF506YSY/@@download/ENCFF506YSY.tsv	GRCh38			released			missing RIN, inconsistent assay_term_name		
ENCFF166NPX	tsv	gene quantifications	ENCSR000AFB	RNA-seq	UBERON:0002107	liver	tissue	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				2							ENCFF063BWG, ENCFF940AZB	9895518	ENCODE Processing Pipeline	60b7de7ce5c5c68a2c32af43580c84f2		https://www.encodeproject.org/files/ENCFF166NPX/@@download/ENCFF166NPX.tsv	GRCh38			released			missing RIN, inconsistent assay_term_name		
ENCFF866DJQ	tsv	gene quantifications	ENCSR000AFC	RNA-seq	UBERON:0002048	lung	tissue	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				2							ENCFF242SLW, ENCFF826ONU	9484599	ENCODE Processing Pipeline	9fa0cae21b85229bdd7925d9e973653b		https://www.encodeproject.org/files/ENCFF866DJQ/@@download/ENCFF866DJQ.tsv	hg19			released			missing RIN, inconsistent assay_term_name		
ENCFF268ADF	tsv	gene quantifications	ENCSR000AFC	RNA-seq	UBERON:0002048	lung	tissue	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				1							ENCFF049HUH, ENCFF826ONU	9516905	ENCODE Processing Pipeline	92793780e939908f3477567f260f6649		https://www.encodeproject.org/files/ENCFF268ADF/@@download/ENCFF268ADF.tsv	hg19			released			missing RIN, inconsistent assay_term_name		
ENCFF649ECE	tsv	gene quantifications	ENCSR000AFC	RNA-seq	UBERON:0002048	lung	tissue	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				1							ENCFF323PBQ, ENCFF940AZB	9880796	ENCODE Processing Pipeline	05c4ff376d0068f709839db5e6f883b8		https://www.encodeproject.org/files/ENCFF649ECE/@@download/ENCFF649ECE.tsv	GRCh38			released			missing RIN, inconsistent assay_term_name		
ENCFF573QQU	tsv	gene quantifications	ENCSR000AFC	RNA-seq	UBERON:0002048	lung	tissue	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				2							ENCFF940AZB, ENCFF954GUJ	9847474	ENCODE Processing Pipeline	7efb2ba1fa1d83a0aadbdd8dc5ff6c88		https://www.encodeproject.org/files/ENCFF573QQU/@@download/ENCFF573QQU.tsv	GRCh38			released			missing RIN, inconsistent assay_term_name		
ENCFF489OTC	tsv	gene quantifications	ENCSR019MXZ	RNA-seq	EFO:0001187	HepG2	cell line	Homo sapiens					polyadenylated mRNA		Trizol (LifeTech cat#: 15596-018)	Trizol (LifeTech cat#: 15596-018)		True	2016-04-21	ENCODE				1							ENCFF755ORQ, ENCFF940AZB	9952693	ENCODE Processing Pipeline	c0c66d4525b3d3a209420af2d617c033		https://www.encodeproject.org/files/ENCFF489OTC/@@download/ENCFF489OTC.tsv	GRCh38			released		low read depth	missing RIN, inconsistent assay_term_name	missing documents	
ENCFF245JIV	tsv	gene quantifications	ENCSR019MXZ	RNA-seq	EFO:0001187	HepG2	cell line	Homo sapiens					polyadenylated mRNA		Trizol (LifeTech cat#: 15596-018)	Trizol (LifeTech cat#: 15596-018)		True	2016-04-21	ENCODE				2							ENCFF382JQD, ENCFF940AZB	9992352	ENCODE Processing Pipeline	286519503f1b2331766adc0335cf7a0e		https://www.encodeproject.org/files/ENCFF245JIV/@@download/ENCFF245JIV.tsv	GRCh38			released		low read depth	missing RIN, inconsistent assay_term_name	missing documents	
ENCFF618AYY	tsv	gene quantifications	ENCSR019MXZ	RNA-seq	EFO:0001187	HepG2	cell line	Homo sapiens					polyadenylated mRNA		Trizol (LifeTech cat#: 15596-018)	Trizol (LifeTech cat#: 15596-018)		True	2016-04-21	ENCODE				1							ENCFF756DLL, ENCFF826ONU	9585400	ENCODE Processing Pipeline	2e559aaf4faf32d789d4dfc48f6ef45a		https://www.encodeproject.org/files/ENCFF618AYY/@@download/ENCFF618AYY.tsv	hg19			released		low read depth	missing RIN, inconsistent assay_term_name	missing documents	
ENCFF383JHU	tsv	gene quantifications	ENCSR019MXZ	RNA-seq	EFO:0001187	HepG2	cell line	Homo sapiens					polyadenylated mRNA		Trizol (LifeTech cat#: 15596-018)	Trizol (LifeTech cat#: 15596-018)		True	2016-04-21	ENCODE				2							ENCFF826ONU, ENCFF928NYN	9624348	ENCODE Processing Pipeline	130e2743783fcd8101fcf9c5f4692cbf		https://www.encodeproject.org/files/ENCFF383JHU/@@download/ENCFF383JHU.tsv	hg19			released		low read depth	missing RIN, inconsistent assay_term_name	missing documents	
ENCFF232RDH	tsv	gene quantifications	ENCSR000CVB	RNA-seq	CL:2000007	articular chondrocyte of knee joint	primary cell	Homo sapiens					RNA	rRNA	see document	see document		True	2012-07-09	ENCODE				1							ENCFF000JFN, ENCFF426MTM	1501600	ENCODE Processing Pipeline	5409e4714d564e4a5222cbf00867528b		https://www.encodeproject.org/files/ENCFF232RDH/@@download/ENCFF232RDH.tsv	GRCh38			released			missing RIN		
ENCFF072EZM	tsv	gene quantifications	ENCSR000CVB	RNA-seq	CL:2000007	articular chondrocyte of knee joint	primary cell	Homo sapiens					RNA	rRNA	see document	see document		True	2012-07-09	ENCODE				2							ENCFF000JGN, ENCFF426MTM	1501641	ENCODE Processing Pipeline	1a918e393672091a154ea70c091fea3c		https://www.encodeproject.org/files/ENCFF072EZM/@@download/ENCFF072EZM.tsv	GRCh38			released			missing RIN		
ENCFF033GUS	tsv	gene quantifications	ENCSR000CVB	RNA-seq	CL:2000007	articular chondrocyte of knee joint	primary cell	Homo sapiens					RNA	rRNA	see document	see document		True	2012-07-09	ENCODE				1							ENCFF000JFN, ENCFF982OYH	1411948	ENCODE Processing Pipeline	b385dba1b06184f75b893cb433ef8c6a		https://www.encodeproject.org/files/ENCFF033GUS/@@download/ENCFF033GUS.tsv	hg19			released			missing RIN		
ENCFF316XWT	tsv	gene quantifications	ENCSR000CVB	RNA-seq	CL:2000007	articular chondrocyte of knee joint	primary cell	Homo sapiens					RNA	rRNA	see document	see document		True	2012-07-09	ENCODE				2							ENCFF000JGN, ENCFF982OYH	1411998	ENCODE Processing Pipeline	aa96e53cb7691057dc604850e99d3501		https://www.encodeproject.org/files/ENCFF316XWT/@@download/ENCFF316XWT.tsv	hg19			released			missing RIN		
ENCFF407NFR	tsv	gene quantifications	ENCSR058OSL	RNA-seq	EFO:0001187	HepG2	cell line	Homo sapiens					polyadenylated mRNA		Trizol (LifeTech cat#: 15596-018)	Trizol (LifeTech cat#: 15596-018)		True	2016-04-21	ENCODE				1							ENCFF348DWN, ENCFF940AZB	9932342	ENCODE Processing Pipeline	217cba3ec0c992dda46f80848cbdf6eb		https://www.encodeproject.org/files/ENCFF407NFR/@@download/ENCFF407NFR.tsv	GRCh38			released		low read depth	missing RIN, inconsistent assay_term_name	missing documents, insufficient read depth	
ENCFF678HUP	tsv	gene quantifications	ENCSR058OSL	RNA-seq	EFO:0001187	HepG2	cell line	Homo sapiens					polyadenylated mRNA		Trizol (LifeTech cat#: 15596-018)	Trizol (LifeTech cat#: 15596-018)		True	2016-04-21	ENCODE				2							ENCFF224OFD, ENCFF940AZB	9952942	ENCODE Processing Pipeline	5e20c2316de750e51eea0518ab2f704f		https://www.encodeproject.org/files/ENCFF678HUP/@@download/ENCFF678HUP.tsv	GRCh38			released		low read depth	missing RIN, inconsistent assay_term_name	missing documents, insufficient read depth	
ENCFF179DDO	tsv	gene quantifications	ENCSR058OSL	RNA-seq	EFO:0001187	HepG2	cell line	Homo sapiens					polyadenylated mRNA		Trizol (LifeTech cat#: 15596-018)	Trizol (LifeTech cat#: 15596-018)		True	2016-04-21	ENCODE				1							ENCFF440VYJ, ENCFF826ONU	9565153	ENCODE Processing Pipeline	1a6a42fc60482df8aacbe544cf9026e5		https://www.encodeproject.org/files/ENCFF179DDO/@@download/ENCFF179DDO.tsv	hg19			released		low read depth	missing RIN, inconsistent assay_term_name	missing documents, insufficient read depth	
ENCFF800OKG	tsv	gene quantifications	ENCSR058OSL	RNA-seq	EFO:0001187	HepG2	cell line	Homo sapiens					polyadenylated mRNA		Trizol (LifeTech cat#: 15596-018)	Trizol (LifeTech cat#: 15596-018)		True	2016-04-21	ENCODE				2							ENCFF509GYU, ENCFF826ONU	9585692	ENCODE Processing Pipeline	e75d3367f0f851eb4ecc6723a20ba8bd		https://www.encodeproject.org/files/ENCFF800OKG/@@download/ENCFF800OKG.tsv	hg19			released		low read depth	missing RIN, inconsistent assay_term_name	missing documents, insufficient read depth	
ENCFF443WJD	tsv	gene quantifications	ENCSR313TJR	RNA-seq	CL:2000001	peripheral blood mononuclear cell	primary cell	Homo sapiens					polyadenylated mRNA		see document			True	2013-07-31	Roadmap				1							ENCFF555HCM, ENCFF940AZB	9961254	ENCODE Processing Pipeline	674d04c2b924b5232d892da3e5187f6e		https://www.encodeproject.org/files/ENCFF443WJD/@@download/ENCFF443WJD.tsv	GRCh38			released			missing RIN, inconsistent assay_term_name		
ENCFF398AQI	tsv	gene quantifications	ENCSR313TJR	RNA-seq	CL:2000001	peripheral blood mononuclear cell	primary cell	Homo sapiens					polyadenylated mRNA		see document			True	2013-07-31	Roadmap				1							ENCFF503CBR, ENCFF826ONU	9588492	ENCODE Processing Pipeline	b70cf3bcb6f741bfc41721e5dcab7260		https://www.encodeproject.org/files/ENCFF398AQI/@@download/ENCFF398AQI.tsv	hg19			released			missing RIN, inconsistent assay_term_name		
ENCFF372OMD	tsv	gene quantifications	ENCSR944FLL	RNA-seq	CL:0000625	CD8-positive, alpha-beta T cell	primary cell	Homo sapiens					polyadenylated mRNA		see document			False	2013-07-31	Roadmap				1							ENCFF823QIL, ENCFF940AZB	9946307	ENCODE Processing Pipeline	191f1059c1b14b5396a99e8245c82d9e		https://www.encodeproject.org/files/ENCFF372OMD/@@download/ENCFF372OMD.tsv	GRCh38			released			missing RIN, inconsistent assay_term_name		
ENCFF557VGS	tsv	gene quantifications	ENCSR944FLL	RNA-seq	CL:0000625	CD8-positive, alpha-beta T cell	primary cell	Homo sapiens					polyadenylated mRNA		see document			False	2013-07-31	Roadmap				1							ENCFF622DRW, ENCFF826ONU	9559649	ENCODE Processing Pipeline	fb365c9a3897d1279471f2f5aba98549		https://www.encodeproject.org/files/ENCFF557VGS/@@download/ENCFF557VGS.tsv	hg19			released			missing RIN, inconsistent assay_term_name		
ENCFF544YDR	tsv	gene quantifications	ENCSR000CQI	RNA-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens					RNA	rRNA, polyadenylated mRNA	see document	see document		True	2011-10-17	ENCODE				1							ENCFF312VBJ, ENCFF940AZB	9869582	ENCODE Processing Pipeline	dde0f117535af0bfb8edbb3b4c769a32		https://www.encodeproject.org/files/ENCFF544YDR/@@download/ENCFF544YDR.tsv	GRCh38			released			missing RIN, inconsistent assay_term_name		
ENCFF723NQB	tsv	gene quantifications	ENCSR000CQI	RNA-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens					RNA	rRNA, polyadenylated mRNA	see document	see document		True	2011-10-17	ENCODE				2							ENCFF389ETS, ENCFF940AZB	9883011	ENCODE Processing Pipeline	28b11419d2a28e68061936de2963160d		https://www.encodeproject.org/files/ENCFF723NQB/@@download/ENCFF723NQB.tsv	GRCh38			released			missing RIN, inconsistent assay_term_name		
ENCFF819ARC	tsv	gene quantifications	ENCSR000CQI	RNA-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens					RNA	rRNA, polyadenylated mRNA	see document	see document		True	2011-10-17	ENCODE				1							ENCFF248HAF, ENCFF826ONU	9506072	ENCODE Processing Pipeline	401c68dbe2a0e00d1e0ec9f1e7efd2a6		https://www.encodeproject.org/files/ENCFF819ARC/@@download/ENCFF819ARC.tsv	hg19			released			missing RIN, inconsistent assay_term_name		
ENCFF771UPV	tsv	gene quantifications	ENCSR000CQI	RNA-seq	EFO:0002791	HeLa-S3	cell line	Homo sapiens					RNA	rRNA, polyadenylated mRNA	see document	see document		True	2011-10-17	ENCODE				2							ENCFF216LKO, ENCFF826ONU	9517526	ENCODE Processing Pipeline	b156efcfb1bce08fb057b816ee94f65c		https://www.encodeproject.org/files/ENCFF771UPV/@@download/ENCFF771UPV.tsv	hg19			released			missing RIN, inconsistent assay_term_name		
ENCFF805EHA	tsv	gene quantifications	ENCSR000AFZ	RNA-seq	UBERON:0001134	skeletal muscle tissue	tissue	Homo sapiens					RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				1							ENCFF001RMB, ENCFF982OYH	1399940	ENCODE Processing Pipeline	73f7f46ac0b79d2687e3eaa5e2cf85ad		https://www.encodeproject.org/files/ENCFF805EHA/@@download/ENCFF805EHA.tsv	hg19			released			missing RIN		
